Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
389,Norman Powell,SG,30,LAC,51,0,25.3,4.7,9.5,0.495,2.1,4.6,0.445,2.7,4.9,0.542,0.603,1.9,2.2,0.85,0.2,2.4,2.6,1,0.5,0.4,0.8,1.8,13.4
390,Jason Preston,PG,24,UTA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
391,Joshua Primo,SG,21,LAC,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,1,3,0,2
392,Taurean Prince,PF,29,LAL,51,47,30.2,3.5,7.9,0.436,2,5.2,0.386,1.5,2.7,0.529,0.562,0.7,1,0.735,0.2,2.7,2.9,1.7,0.9,0.5,0.9,2.2,9.6
393,Payton Pritchard,PG,26,BOS,53,0,20.6,2.8,6.6,0.428,1.7,4.5,0.373,1.2,2.1,0.545,0.555,0.6,0.7,0.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.2,7.8
394,Olivier-Maxence Prosper,PF,21,DAL,28,0,8.9,0.9,2.5,0.348,0.3,1.2,0.242,0.6,1.3,0.444,0.406,0.8,1.2,0.676,0.6,1.5,2.1,0.7,0.1,0.1,0.1,0.6,2.8
395,Trevelin Queen,SG,26,ORL,12,0,12.9,1.2,3,0.389,0.3,1.3,0.188,0.9,1.7,0.55,0.431,0.8,1,0.75,0.3,1.3,1.5,1.5,0.6,0.4,0.6,1.2,3.3
396,Neemias Queta,C,24,BOS,22,0,12.2,2,3.4,0.608,0,0,0,2,3.4,0.608,0.608,0.7,0.9,0.75,1.9,2.5,4.5,0.5,0.4,0.6,0.4,1.9,4.8
397,Immanuel Quickley,SG-PG,24,TOT,48,18,27.1,5.3,12.2,0.435,2.4,5.8,0.413,2.9,6.5,0.455,0.532,2.7,3.2,0.849,0.3,2.8,3.1,3.8,0.6,0.1,1.1,1.6,15.7
397,Immanuel Quickley,SG,24,NYK,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15
397,Immanuel Quickley,PG,24,TOR,18,18,32.2,5.7,13.9,0.41,2.8,6.3,0.439,2.9,7.6,0.387,0.51,2.6,3.2,0.81,0.4,3.5,3.9,5.9,0.7,0.1,1.2,1.8,16.8
398,Lester Quinones,SG,23,GSW,16,0,12.8,1.8,4.3,0.406,1.1,2.7,0.419,0.6,1.6,0.385,0.536,0.5,0.8,0.667,0.8,1.7,2.5,1.1,0.2,0.1,0.7,1.5,5.1
399,Julius Randle,PF,29,NYK,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24
400,Duop Reath,C,27,POR,38,11,17.6,3.3,6.9,0.485,1.4,3.6,0.393,1.9,3.3,0.583,0.586,1,1.3,0.76,1.4,2.5,3.8,1.2,0.5,0.5,0.8,2.5,9.1
401,Austin Reaves,SG,25,LAL,54,29,31,5.4,11.2,0.488,1.7,4.7,0.359,3.7,6.4,0.582,0.564,3.1,3.6,0.858,0.7,3.2,3.9,5.4,0.9,0.2,2.1,1.9,15.7
402,Cam Reddish,SF,24,LAL,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7
403,Paul Reed,C,24,PHI,52,16,17.1,2.8,5.1,0.542,0.2,0.6,0.323,2.6,4.5,0.571,0.561,0.6,0.8,0.707,2.1,3.1,5.2,1.2,0.7,0.8,0.7,2.3,6.3
404,Naz Reid,C,24,MIN,52,0,22.4,4.7,9.5,0.488,1.9,4.7,0.414,2.7,4.8,0.56,0.59,1.1,1.4,0.76,0.9,3.7,4.6,1.1,0.7,0.8,1.2,1.9,12.3
405,Jared Rhoden,SG,24,DET,6,0,7,1,1.8,0.545,0.2,0.7,0.25,0.8,1.2,0.714,0.591,0.3,0.3,1,0.2,0.7,0.8,0.7,0,0.3,0.5,0.7,2.5
406,Nick Richards,C,26,CHO,43,30,25.8,3.7,5.5,0.678,0,0,0,3.7,5.5,0.678,0.678,2.1,2.9,0.742,2.6,5.3,7.9,0.9,0.3,1.3,1.1,2.7,9.6
407,Josh Richardson,SG,30,MIA,43,6,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9
408,Duncan Robinson,SF,29,MIA,48,17,27.3,4.5,10,0.45,2.7,6.8,0.397,1.8,3.2,0.561,0.584,1.3,1.5,0.887,0.2,2.2,2.4,2.8,0.6,0.2,1.4,2.3,13
409,Jerome Robinson,SG,26,GSW,9,0,3.3,0,1,0,0,0.6,0,0,0.4,0,0,0.4,0.7,0.667,0.1,0.2,0.3,0.2,0,0.1,0,0.1,0.4
410,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,0.592,0,0,0,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2
411,Orlando Robinson,C,23,MIA,23,7,10.2,1.3,2.7,0.508,0.3,0.6,0.538,1,2.1,0.5,0.566,0.8,1,0.75,0.8,2,2.8,1.2,0.2,0.3,0.6,1.3,3.8
412,Jeremiah Robinson-Earl,PF,23,NOP,21,1,10,1.4,2.8,0.517,0.4,1,0.364,1,1.7,0.611,0.586,0.5,0.5,0.909,0.7,1.6,2.3,0.5,0.3,0.1,0.4,0.7,3.7
413,David Roddy,PF,22,MEM,48,13,23.2,3.2,8,0.402,1,3.3,0.301,2.3,4.8,0.47,0.462,1,1.4,0.687,1.1,3.1,4.2,1.6,0.5,0.2,1.1,1.4,8.4
414,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1
415,Derrick Rose,PG,35,MEM,20,7,17.4,3.4,7.4,0.453,0.8,2,0.385,2.6,5.5,0.477,0.503,1.1,1.2,0.917,0.4,1.6,1.9,3.4,0.4,0.1,1.3,1,8.6
416,Terry Rozier,SG-PG,29,TOT,40,39,34.1,7.5,16.9,0.44,2.4,7,0.337,5.1,10,0.513,0.51,3.3,3.8,0.863,0.7,3.4,4.1,6.4,1,0.4,1.9,1.8,20.6
416,Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
416,Terry Rozier,PG,29,MIA,10,9,29.9,4.6,12.8,0.359,1.1,4.7,0.234,3.5,8.1,0.432,0.402,2.3,2.4,0.958,1,3.5,4.5,5.6,0.8,0.2,1.1,1.9,12.6
417,Rayan Rupert,SG,19,POR,16,0,7.4,0.9,2.7,0.349,0.4,1.1,0.412,0.5,1.6,0.308,0.43,0.3,0.5,0.625,0.4,0.9,1.3,0.7,0.2,0,0.4,0.4,2.6
418,D'Angelo Russell,PG,27,LAL,49,42,31.2,6.4,13.8,0.465,2.7,6.4,0.418,3.7,7.3,0.507,0.563,2,2.5,0.81,0.4,2.3,2.7,6.2,0.8,0.5,1.9,2.1,17.5
419,Matt Ryan,SF,26,NOP,14,1,21.6,2.7,6.1,0.447,2.3,4.9,0.471,0.4,1.2,0.353,0.635,0.9,1,0.929,0.4,1.9,2.2,1,0.4,0.1,1.1,1.7,8.6
420,Domantas Sabonis,C,27,SAC,52,52,35.6,8,12.8,0.623,0.5,1.1,0.441,7.5,11.7,0.64,0.642,3.4,4.9,0.692,3.2,10,13.2,8.3,0.8,0.5,3.3,3.1,19.9
421,Luka Šamani?,PF,24,UTA,24,0,5.9,0.9,2.5,0.367,0.2,1,0.217,0.7,1.5,0.459,0.408,0.7,0.9,0.81,0.3,1.4,1.7,0.2,0,0.1,0.5,0.6,2.8
422,Jermaine Samuels,SF,25,HOU,11,0,4.8,0.7,1,0.727,0,0.2,0,0.7,0.8,0.889,0.727,0.2,0.2,1,0.2,0.8,1,0.2,0.1,0.1,0,0.4,1.6
423,Adama Sanogo,PF,21,CHI,3,0,3.7,1,1,1,0,0,0,1,1,1,1,0.7,1,0.667,0.7,1.3,2,0,0,0,0.3,0,2.7
424,Gui Santos,PF,21,GSW,11,0,9.7,1.3,2.7,0.467,0.3,1,0.273,1,1.7,0.579,0.517,1.3,1.4,0.933,1,1.7,2.7,0.6,0.2,0.2,0.3,1.3,4.1
